컴공-----------
CSE3206-001	 	오퍼레이팅시스템	3	3.0	전공선택	화8,9,목7(하-120)	송민석	상대평가	 
CSE3206-002	 	오퍼레이팅시스템	3	3.0	전공선택	화1,2,목3(하-120)	송민석	상대평가	 
CSE3206-003	 	오퍼레이팅시스템	3	3.0	전공선택	화5,6(하-121) /수7(하-220)	이상철	상대평가	 
CSE3207-001	 	데이터베이스	3	3.0	전공선택	화1,2,목3(하-222)	유상봉	상대평가	3학년,선수,
CSE3207-002	 	데이터베이스	3	3.0	전공선택	화8,9,목7(하-220)	이주홍	상대평가	3학년,선수,
CSE3207-003	 	데이터베이스	3	3.0	전공선택	월8,9(하-121) /금7(하-220)	최범기	상대평가	3학년,선수,
CSE3301-001	 	데이터통신	3	3.0	전공선택	화3(하-121) /수3,4(하-220)	타메르	절대평가	English,
CSE3305-001	 	시스템분석	3	3.0	전공선택	수8,9(하-120) /금8,9(하-324)	이종식	상대평가	 
CSE3306-001	 	문제해결기법	3	3.0	전공선택	화7,8,9(하-320)	양대헌	상대평가	선수,
CSE3306-002	 	문제해결기법	3	3.0	전공선택	수7,8,9(하-322)	심정섭	상대평가	선수,
CSE3306-003	 	문제해결기법	3	3.0	전공선택	월7,8,9(하-324)	이문규	상대평가	선수,
CSE3207-004	 	데이터베이스	4	3.0	전공선택	화3,목1,2(하-222)	유상봉	상대평가	4학년,선수,
CSE3207-005	 	데이터베이스	4	3.0	전공선택	화7,목8,9(하-220)	이주홍	상대평가	4학년,선수,
CSE3207-006	 	데이터베이스	4	3.0	전공선택	월7,금5,6(하-220)	최범기	상대평가	4학년,선수,
CSE4202-001	 	컴퓨터 네트워크	4	3.0	전공선택	화3,4(하-001) /목1,2(하-322)	권구인	상대평가	 
CSE4202-002	 	컴퓨터 네트워크	4	3.0	전공선택	수8,9(하-001) /금8,9(하-322)	권구인	상대평가	 
CSE4203-001	 	컴퓨터정보공학 종합설계	4	3.0	전공필수	목7,8,9(하-320)	이상철	상대평가	 
CSE4204-001	 	알고리즘	4	3.0	전공선택	화7,목8,9(하-222)	심정섭	상대평가	선수,
CSE4204-002	 	알고리즘	4	3.0	전공선택	화8,9,목7(하-222)	심정섭	상대평가	선수,
CSE4302-001	 	인공지능	4	3.0	전공선택	월5,6,목4(하-121)	조근식	상대평가	선수,
CSE4303-001	 	게임프로그래밍	4	3.0	전공선택	월8,9(하-220) /수5,6(하-324)	신병석	상대평가	선수,
CSE4304-001	 	영상처리 및 이해	4	3.0	전공선택	월3,4(하-001) /금3,4(하-324)	이필규	상대평가	 
CSE4305-001	 	생물의료정보학개론	4	3.0	전공선택	화7,8,9(하-324)	한경숙	절대평가	영어,English / 3,4학년,
CSE4306-001	 	컴파일러구성론	4	3.0	전공선택	월3,수1,2(하-120)	유원희	상대평가	선수,
CSE4307-001	 	멀티미디어 컴퓨팅	4	3.0	전공선택	수2,목1,2(하-220)	이상철	상대평가	 
CSE4309-001	 	파일처리론	4	3.0	전공선택	수8,9,목7(하-121)	조태호	절대평가	영어,English,선수,

이상 컴공끝---------

E러닝-----------
ACE2101-002	 	공업수학 1	2	3.0	교양필수	셀0(웹강의)	양경수	상대평가	선수,
